,SEASONAL_NAIVE_MEAN_3_DAYS,SEASONAL_NAIVE_MEAN_7_DAYS,NAIVE_LAST,ACTUAL
2022-03-08 07:00:00,468.20000000000005,594.9842857142856,500.89,512.94
2022-03-08 08:00:00,526.8133333333334,737.3142857142857,500.89,820.0
2022-03-08 09:00:00,650.2199999999999,794.4442857142858,500.89,1040.37
2022-03-08 10:00:00,615.0533333333333,748.7871428571428,500.89,489.31
2022-03-08 11:00:00,537.8733333333333,673.9957142857144,500.89,489.3
2022-03-08 12:00:00,595.4766666666666,686.8728571428571,500.89,483.12
2022-03-08 13:00:00,540.62,644.9957142857144,500.89,464.0
2022-03-08 14:00:00,570.4333333333333,667.92,500.89,440.89
2022-03-08 15:00:00,532.41,643.5914285714285,500.89,421.12
2022-03-08 16:00:00,567.8766666666667,680.8057142857143,500.89,476.86
2022-03-08 17:00:00,604.9633333333333,694.6000000000001,500.89,786.54
2022-03-08 18:00:00,744.1,860.2157142857143,500.89,915.0
2022-03-08 19:00:00,862.2733333333334,959.232857142857,500.89,1155.38
2022-03-08 20:00:00,855.3333333333334,966.2485714285714,500.89,947.0
2022-03-08 21:00:00,640.43,790.1257142857143,500.89,820.0
2022-03-08 22:00:00,511.68,609.3757142857143,500.89,476.87
2022-03-08 23:00:00,494.07666666666665,596.9114285714286,500.89,485.33
2022-03-09 00:00:00,463.48,502.2628571428572,485.33,461.31
2022-03-09 01:00:00,464.2033333333334,498.33714285714285,485.33,810.2
2022-03-09 02:00:00,463.17333333333335,500.4442857142857,485.33,518.49
2022-03-09 03:00:00,448.24333333333334,489.8585714285714,485.33,514.89
2022-03-09 04:00:00,454.10999999999996,487.0885714285714,485.33,733.92
2022-03-09 05:00:00,461.10666666666674,490.25999999999993,485.33,818.34
2022-03-09 06:00:00,450.68666666666667,494.1614285714285,485.33,550.91
2022-03-09 07:00:00,474.3333333333333,568.1342857142857,485.33,580.91
2022-03-09 08:00:00,631.2366666666667,747.1714285714286,485.33,981.39
2022-03-09 09:00:00,830.0466666666666,835.7828571428571,485.33,1078.21
2022-03-09 10:00:00,580.1533333333333,721.9799999999999,485.33,957.58
2022-03-09 11:00:00,490.67,652.6971428571429,485.33,739.5
2022-03-09 12:00:00,469.43333333333334,676.9642857142856,485.33,505.89
2022-03-09 13:00:00,473.9633333333333,636.1128571428573,485.33,660.23
2022-03-09 14:00:00,501.17666666666656,655.4342857142857,485.33,677.75
2022-03-09 15:00:00,480.1166666666666,625.0200000000001,485.33,602.8
2022-03-09 16:00:00,520.94,653.8699999999999,485.33,677.88
2022-03-09 17:00:00,666.5500000000001,699.6771428571429,485.33,820.0
2022-03-09 18:00:00,790.0033333333334,843.2157142857143,485.33,815.0
2022-03-09 19:00:00,967.7933333333334,972.2871428571428,485.33,821.0
2022-03-09 20:00:00,891.6666666666666,946.6771428571428,485.33,1491.0
2022-03-09 21:00:00,704.2199999999999,768.0799999999999,485.33,690.4
2022-03-09 22:00:00,481.6566666666666,575.9442857142857,485.33,482.53
2022-03-09 23:00:00,487.2233333333333,572.9485714285713,485.33,442.76
2022-03-10 00:00:00,453.78999999999996,491.1614285714286,442.76,429.91
2022-03-10 01:00:00,579.2566666666667,533.9457142857143,442.76,418.71
2022-03-10 02:00:00,480.99,496.5285714285714,442.76,421.22
2022-03-10 03:00:00,468.48999999999995,488.02142857142854,442.76,438.41
2022-03-10 04:00:00,547.3766666666667,518.5471428571428,442.76,450.96
2022-03-10 05:00:00,585.9166666666666,532.4114285714286,442.76,453.99
2022-03-10 06:00:00,493.98,490.0442857142857,442.76,437.04
2022-03-10 07:00:00,535.77,533.4071428571428,442.76,482.01
2022-03-10 08:00:00,805.4166666666666,763.0914285714287,442.76,421.21
2022-03-10 09:00:00,1032.1933333333334,871.8914285714285,442.76,421.21
2022-03-10 10:00:00,739.4366666666666,760.8642857142858,442.76,418.7
